,OPC_9,OPC_8,OPC_7,OPC_6,OPC_5,OPC_4,OPC_3,OPC_2,OPC_11,OPC_10,OPC_1,OLqNSCI_6,OLqNSCI_5,OLqNSCI_4,OLqNSCI_3,OLqNSCI_2,OLqNSCI_1,OLqNSCII_9,OLqNSCII_8,OLqNSCII_7,OLqNSCII_6,OLqNSCII_5,OLqNSCII_4,OLqNSCII_3,OLqNSCII_2,OLqNSCII_12,OLqNSCII_11,OLqNSCII_10,OLqNSCII_1,OLpNSC_4,OLpNSC_3,OLpNSC_2,OLpNSC_1,OLaNSC_9,OLaNSC_8,OLaNSC_7,OLaNSC_6,OLaNSC_5,OLaNSC_4,OLaNSC_3,OLaNSC_2,OLaNSC_13,OLaNSC_12,OLaNSC_11,OLaNSC_10,OLaNSC_1,OLTAP_9,OLTAP_8,OLTAP_7,OLTAP_6,OLTAP_5,OLTAP_4,OLTAP_3,OLTAP_2,OLTAP_11,OLTAP_10,OLTAP_1,NB_99,NB_98,NB_97,NB_96,NB_95,NB_94,NB_93,NB_92,NB_91,NB_90,NB_9,NB_89,NB_88,NB_87,NB_86,NB_85,NB_84,NB_83,NB_82,NB_81,NB_80,NB_8,NB_79,NB_78,NB_77,NB_76,NB_75,NB_74,NB_73,NB_72,NB_71,NB_70,NB_7,NB_69,NB_68,NB_67,NB_66,NB_65,NB_64,NB_63,NB_62,NB_61,NB_60,NB_6,NB_59,NB_58,NB_57,NB_56,NB_55,NB_54,NB_53,NB_52,NB_51,NB_50,NB_5,NB_49,NB_48,NB_47,NB_46,NB_45,NB_44,NB_43,NB_42,NB_41,NB_40,NB_4,NB_39,NB_38,NB_37,NB_36,NB_35,NB_34,NB_33,NB_32,NB_31,NB_30,NB_3,NB_29,NB_28,NB_27,NB_26,NB_25,NB_24,NB_23,NB_22,NB_21,NB_20,NB_2,NB_19,NB_18,NB_17,NB_16,NB_15,NB_14,NB_13,NB_12,NB_11,NB_102,NB_101,NB_100,NB_10,NB_1,MOL_9,MOL_8,MOL_75,MOL_74,MOL_73,MOL_72,MOL_71,MOL_70,MOL_7,MOL_69,MOL_68,MOL_67,MOL_66,MOL_65,MOL_64,MOL_63,MOL_62,MOL_61,MOL_60,MOL_6,MOL_59,MOL_58,MOL_57,MOL_56,MOL_55,MOL_54,MOL_53,MOL_52,MOL_51,MOL_50,MOL_5,MOL_49,MOL_48,MOL_47,MOL_46,MOL_45,MOL_44,MOL_43,MOL_42,MOL_41,MOL_40,MOL_4,MOL_39,MOL_38,MOL_37,MOL_36,MOL_35,MOL_34,MOL_33,MOL_32,MOL_31,MOL_30,MOL_3,MOL_29,MOL_28,MOL_27,MOL_26,MOL_25,MOL_24,MOL_23,MOL_22,MOL_21,MOL_20,MOL_2,MOL_19,MOL_18,MOL_17,MOL_16,MOL_15,MOL_14,MOL_13,MOL_12,MOL_11,MOL_10,MOL_1
2810454H06Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.14853,0.1,1.06896,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.42188,3.88803,1.38207,0.1,0.1,0.619502,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.440744,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0627,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.40581,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1722,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.04529,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.989152,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.09692,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3110035E14Rik,9.72182,7.87461,19.8146,8.55497,0.931872,11.9321,7.55057,10.3006,6.87394,9.68789,8.41243,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.680691,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.41992,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.81444,0.1,0.1,0.1,1.43204,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.671103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.02766,0.1,0.1,0.600246,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0411,0.1,0.1,0.1,0.1,1.58047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.15077,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Adora2b,0.648053,0.1,0.1,0.1,2.60545,0.1,0.914795,0.1,0.1,0.1,0.1,3.01832,1.97909,1.17661,4.70739,3.47606,1.1051,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.03125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Agt,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.1114,5.75948,5.52569,5.87067,2.34628,2.11414,1.9767,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Appl2,1.75064,2.66075,1.15835,1.76426,0.1,0.923434,0.1,2.10785,0.1,1.14853,1.00905,8.96025,1.97909,14.4357,7.03858,9.19279,7.21972,17.2608,9.10564,4.17413,10.6215,12.4072,6.93235,9.27784,2.05032,17.0038,20.5495,1.30112,12.0145,1.42188,1.9903,2.66918,2.29621,0.1,0.619502,2.48934,2.71503,0.870747,1.95826,0.1,1.26071,0.518582,0.440744,0.896754,2.27577,0.591279,0.1,0.872473,0.1,1.84894,0.577836,0.595739,0.1,0.424517,0.1,0.1,1.28494,0.1,0.1,0.1,1.99274,0.1,1.0627,0.1,0.1,1.39487,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.35835,1.34194,1.49793,2.13438,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.35721,0.1,0.1,0.1,0.1,0.1,1.20242,0.1,0.1,0.1,1.61532,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.12948,0.1,1.26774,0.1,0.1,0.1,3.56432,0.1,1.7773,0.1,1.42688,0.1,0.1,0.1,0.1,0.1,1.68406,0.1,2.49947,0.1,1.44562,0.1,0.1,0.1,0.1,0.1,0.962133,0.1,1.52138,0.1,0.1,0.1,0.1,0.1,0.884973,0.1,0.1,0.1,0.1,2.48984,1.27451,0.1,0.1,0.84629,1.6862,1.00489,0.1,1.41321,1.07502,1.14084,1.3295,0.881533,1.81892,2.10817,0.502078,2.35496,6.22725,1.23907,2.12316,1.24296,1.90591,1.22652,1.16991,1.34116,1.82006,1.93643,3.12913,0.737887,1.82453,0.791008,2.92255,0.1,1.83332,3.89793,0.1,2.03475,1.95896,1.26753,3.75937,1.10246,0.1,0.1,0.1,2.66433,1.75786,1.28057,3.17135,0.849151,1.0411,0.650038,0.791938,5.26619,3.03016,1.58047,1.20858,1.85775,0.1,0.1,1.60778,0.1,1.17766,1.56046,1.2146,1.36295,2.7539,3.38359,0.1,0.1,3.26604,0.1,1.12337,0.1,1.07521,0.1,0.849906,0.1,0.1,2.17419,2.47917
Aqp4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.97146,39.1546,15.5701,12.9492,20.9804,4.14421,9.55784,11.7745,7.92219,6.07654,0.1,11.9312,0.1,5.99747,22.0134,22.2987,13.5782,4.16076,0.1,0.1,1.38207,0.829197,0.1,0.1,0.1,0.968257,0.1,0.1,0.1,1.26071,0.1,0.1,0.1,0.1,1.57964,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.11275,0.1,0.1,1.12031,0.989152,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.957776,0.1,0.502078,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.671103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.791938,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.60778,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.12337,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Atp13a4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.01832,1.97909,4.43196,9.3885,3.47606,5.16529,1.9767,3.25848,1.89275,12.1487,0.1,1.06453,4.66171,1.07325,0.1,1.76712,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Basp1,5.67951,0.950232,3.28756,2.6013,5.14078,1.7501,2.55402,7.19748,3.47363,3.25799,3.75774,0.1,0.1,0.1,0.1,1.22094,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.96137,0.1,0.1,0.619502,0.1,0.968257,1.64452,1.49095,0.1,3.59584,1.36069,0.1,3.3059,5.96004,0.1,0.948071,3.2082,3.79612,3.02645,4.96467,0.1,2.73908,4.42115,0.1,7.40867,2.48401,7.99764,8.62765,12.503,21.3391,9.68794,6.91937,13.7446,9.6219,10.6037,9.5204,10.1928,12.764,14.4713,10.2825,5.35419,3.81885,16.878,9.68315,19.5129,17.9458,18.7143,3.15759,14.3771,13.1185,9.07166,2.83306,8.45076,3.61924,14.3654,7.69854,11.7446,4.71384,12.7311,17.4194,5.47834,8.87518,3.84242,11.5961,16.3246,14.6259,10.6914,25.3977,8.20323,2.30917,16.6959,15.7199,8.91804,13.9562,8.04015,7.44596,7.65267,10.8069,11.2856,4.21478,15.1138,14.3164,11.5066,11.8996,9.36068,11.3037,7.176,16.9245,15.7103,10.3686,3.56432,9.09086,6.02904,16.8563,9.4991,13.6316,33.0517,11.4337,16.5388,11.3051,4.0837,11.0019,13.5363,5.82866,13.7993,3.64528,15.2117,8.84133,6.25543,11.8934,6.20702,4.30149,10.1685,11.6148,7.90708,6.99375,10.5196,14.3855,9.72875,10.4985,11.0087,18.7996,8.62318,14.0308,9.62741,9.51455,11.1218,20.5211,0.1,1.00489,0.1,0.1,1.07502,0.1,0.1,0.881533,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.90591,0.1,0.633906,0.1,0.1,0.1,0.1,0.737887,0.672589,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.02766,0.1,0.1,0.1,0.1,0.1,0.1,1.37965,0.1,0.1,0.1,0.1,0.1,0.1,1.4866,0.1,0.1,3.06676,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.64306,0.1,0.1,0.1,0.1,0.1
Cd24a,0.1,0.1,0.1,0.1,0.931872,0.1,0.1,0.1,0.1,0.1,0.1,1.06896,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.06453,0.1,0.1,0.1,0.1,0.1,1.24878,1.42188,0.1,0.1,0.1,0.742103,0.1,0.893321,0.1,0.1,1.02547,0.1,3.59584,3.49545,0.782826,0.896754,3.74066,0.591279,0.523204,3.99296,8.86472,5.4099,1.53916,4.63309,5.44227,7.19677,2.90262,8.90601,1.68304,3.03231,6.16696,16.1108,7.71581,17.8553,14.9517,10.6253,15.7304,5.31016,21.3439,7.6238,26.1244,17.1132,12.0282,5.35419,7.58207,18.5932,11.0741,16.8558,5.09721,10.0024,17.9232,7.69507,14.5942,10.3739,5.58773,13.8079,13.2119,3.62411,13.8872,15.1318,9.38271,4.24334,15.4641,25.7598,1.84124,17.9549,2.61937,10.8294,19.3327,6.68012,7.74442,4.94274,7.90911,16.6959,16.9558,6.68715,12.3919,16.1401,9.30067,14.0863,5.41096,16.176,5.59723,17.0245,19.1706,11.5066,8.91438,7.27392,6.56998,16.8795,4.20543,5.48788,24.658,15.908,5.20707,20.2321,10.0734,1.42688,13.6316,13.3953,14.3242,12.3286,17.0089,4.0837,8.98381,8.5818,19.4641,18.0178,20.766,9.63944,15.5844,8.34012,7.42687,12.4882,9.98165,13.0972,15.5146,5.27356,16.8793,9.25591,9.75416,13.8813,18.3586,18.9119,7.98568,4.32777,9.00401,10.8399,9.51455,14.1769,9.25424,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.957776,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.32945,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.58047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.56046,0.1,0.1,0.1,0.1,0.1,1.26057,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cdk4,1.19826,1.80381,0.1,1.76426,0.931872,0.923434,1.73279,0.1,0.1,0.1,1.92167,2.04172,1.97909,0.1,0.1,1.22094,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.673261,0.1,3.88803,1.38207,2.29621,7.30526,3.77995,3.29209,0.968257,0.1,4.32302,12.6895,7.13337,4.79706,5.35672,4.11533,3.74066,1.08449,6.18112,4.78085,8.86472,11.5416,6.46269,12.0237,11.5347,7.90544,9.71275,10.4157,4.51481,4.01748,2.51244,12.503,5.80058,9.68794,5.93352,4.53857,10.8337,1.39487,10.4834,4.2466,2.00586,2.56542,3.44014,4.03287,5.06827,0.1,4.17457,1.35835,7.62565,4.31031,8.33505,1.1722,13.1185,14.3122,2.83306,1.12946,8.37702,5.39659,3.12145,8.38451,7.82022,3.20137,1.99405,3.67851,3.58933,10.1795,0.1,4.08371,9.41689,4.03248,5.822,3.32214,5.65576,8.74382,12.0423,3.37405,6.19719,0.1,14.9095,1.3464,13.5376,11.2856,8.37865,1.95086,3.21553,5.7695,3.01496,4.175,1.93034,3.61702,5.24197,6.39841,9.20933,0.1,6.49651,7.75368,6.72261,8.14031,8.50679,5.75291,4.30807,8.18681,9.41901,5.69945,5.98707,7.35562,3.91159,8.25389,1.27712,6.88679,5.53072,4.18736,4.47876,4.44481,4.30149,2.94834,2.00027,5.27356,5.60408,2.48803,3.01728,1.67303,5.71523,8.79189,0.1,4.32777,4.90819,7.21705,1.96811,3.70049,1.59551,0.1,1.00489,2.76932,1.41321,0.1,1.14084,0.1,0.881533,1.81892,0.1,0.1,0.1,2.53642,0.1,0.1,1.24296,1.90591,0.1,0.1,0.1,0.1,0.1,0.1,1.37828,0.672589,0.1,0.1,0.1,0.675506,2.62697,0.1,0.1,1.02766,1.26753,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.28057,0.1,0.849151,1.0411,0.1,0.1,5.26619,0.1,1.58047,0.1,0.1,2.10767,0.1,1.60778,0.1,0.1,0.1,1.2146,0.1,0.1,0.1,0.1,1.26057,1.67992,0.1,0.1,3.72482,0.1,0.1,1.60276,0.1,1.26276,0.788683,0.1
Celf4,0.648053,1.80381,1.15835,0.930496,0.1,0.1,0.914795,0.1,0.1,1.14853,1.00905,0.1,0.1,0.1,0.1,1.22094,0.1,0.1,0.726731,0.1,0.1,1.6172,0.1,0.1,0.1,1.27639,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.56183,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.709964,3.02645,0.1,0.1,2.29486,0.424517,0.1,0.1,0.1,7.99764,8.62765,0.1,0.1,3.27078,4.95161,2.30613,6.01567,7.94633,1.95429,6.7744,2.96443,1.74038,3.44014,8.01264,2.57436,6.73121,2.81104,2.62165,3.84051,4.31031,0.1,2.24862,2.953,1.36654,4.20767,1.12946,8.37702,1.8586,7.69854,8.38451,1.63191,0.1,1.99405,0.1,1.84124,1.34258,9.00562,5.42212,4.37798,4.03248,1.99985,0.1,1.20242,4.86388,1.27305,11.167,3.13659,12.8805,1.92567,0.1,6.75187,0.1,6.98517,1.95086,1.65471,7.67429,4.48106,2.12948,5.63465,1.26774,10.4874,5.48788,1.22298,7.05603,0.1,3.46787,1.7459,6.78695,6.81212,3.86119,1.49718,4.11131,5.66932,4.0837,6.98197,0.1,11.6256,4.15277,0.1,9.63944,3.34556,0.1,0.1,4.44481,7.13026,1.52138,2.00027,2.67144,2.8412,3.6963,1.5529,4.05595,3.82865,3.32721,4.01946,3.26457,7.35574,0.1,0.1,11.8808,5.38643,0.1,0.1,0.1,1.41321,0.1,1.14084,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.90591,0.1,1.16991,0.1,0.1,0.1,0.1,0.737887,0.672589,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.600246,0.1,1.40861,0.1,0.1,1.75786,0.1,1.63266,0.849151,1.0411,0.1,1.4866,1.38394,0.1,10.5871,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.42435,0.1,0.1,0.1,4.85842,0.1,0.1,0.1,0.1,0.1,0.849906,0.1,0.1,0.1,0.1
