,OPC_9,OPC_8,OPC_7,OPC_6,OPC_5,OPC_4,OPC_3,OPC_2,OPC_11,OPC_10,OPC_1,OLqNSCI_6,OLqNSCI_5,OLqNSCI_4,OLqNSCI_3,OLqNSCI_2,OLqNSCI_1,OLqNSCII_9,OLqNSCII_8,OLqNSCII_7,OLqNSCII_6,OLqNSCII_5,OLqNSCII_4,OLqNSCII_3,OLqNSCII_2,OLqNSCII_12,OLqNSCII_11,OLqNSCII_10,OLqNSCII_1,OLpNSC_4,OLpNSC_3,OLpNSC_2,OLpNSC_1,OLaNSC_9,OLaNSC_8,OLaNSC_7,OLaNSC_6,OLaNSC_5,OLaNSC_4,OLaNSC_3,OLaNSC_2,OLaNSC_13,OLaNSC_12,OLaNSC_11,OLaNSC_10,OLaNSC_1,OLTAP_9,OLTAP_8,OLTAP_7,OLTAP_6,OLTAP_5,OLTAP_4,OLTAP_3,OLTAP_2,OLTAP_11,OLTAP_10,OLTAP_1,NB_99,NB_98,NB_97,NB_96,NB_95,NB_94,NB_93,NB_92,NB_91,NB_90,NB_9,NB_89,NB_88,NB_87,NB_86,NB_85,NB_84,NB_83,NB_82,NB_81,NB_80,NB_8,NB_79,NB_78,NB_77,NB_76,NB_75,NB_74,NB_73,NB_72,NB_71,NB_70,NB_7,NB_69,NB_68,NB_67,NB_66,NB_65,NB_64,NB_63,NB_62,NB_61,NB_60,NB_6,NB_59,NB_58,NB_57,NB_56,NB_55,NB_54,NB_53,NB_52,NB_51,NB_50,NB_5,NB_49,NB_48,NB_47,NB_46,NB_45,NB_44,NB_43,NB_42,NB_41,NB_40,NB_4,NB_39,NB_38,NB_37,NB_36,NB_35,NB_34,NB_33,NB_32,NB_31,NB_30,NB_3,NB_29,NB_28,NB_27,NB_26,NB_25,NB_24,NB_23,NB_22,NB_21,NB_20,NB_2,NB_19,NB_18,NB_17,NB_16,NB_15,NB_14,NB_13,NB_12,NB_11,NB_102,NB_101,NB_100,NB_10,NB_1,MOL_9,MOL_8,MOL_75,MOL_74,MOL_73,MOL_72,MOL_71,MOL_70,MOL_7,MOL_69,MOL_68,MOL_67,MOL_66,MOL_65,MOL_64,MOL_63,MOL_62,MOL_61,MOL_60,MOL_6,MOL_59,MOL_58,MOL_57,MOL_56,MOL_55,MOL_54,MOL_53,MOL_52,MOL_51,MOL_50,MOL_5,MOL_49,MOL_48,MOL_47,MOL_46,MOL_45,MOL_44,MOL_43,MOL_42,MOL_41,MOL_40,MOL_4,MOL_39,MOL_38,MOL_37,MOL_36,MOL_35,MOL_34,MOL_33,MOL_32,MOL_31,MOL_30,MOL_3,MOL_29,MOL_28,MOL_27,MOL_26,MOL_25,MOL_24,MOL_23,MOL_22,MOL_21,MOL_20,MOL_2,MOL_19,MOL_18,MOL_17,MOL_16,MOL_15,MOL_14,MOL_13,MOL_12,MOL_11,MOL_10,MOL_1
Cldn11,1.75064,2.66075,2.22086,0.1,0.1,0.1,0.1,0.1,1.78351,2.20118,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.27639,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.13337,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.577836,0.1,0.1,0.424517,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.81444,0.1,24.5707,40.4535,22.0648,37.4961,55.446,21.7325,36.4872,24.9888,17.0012,29.7576,42.7619,38.491,33.3691,32.537,15.6753,12.9256,22.252,32.7123,30.4065,32.6867,39.8153,39.339,39.0435,33.941,46.8315,47.2505,19.295,39.8747,29.9264,30.4304,32.3794,46.6215,24.4557,32.0479,28.0366,20.0523,35.3049,34.4578,31.8561,22.5661,23.9222,25.9174,36.9643,34.4006,24.8085,45.7487,14.4811,52.8112,38.9036,12.1093,32.9084,38.5398,20.9226,48.8205,38.0227,23.1446,24.8411,33.6296,34.3385,31.8651,26.1942,34.1558,36.1459,21.7188,54.0024,25.2526,32.6904,31.857,30.0567,27.3762,30.01,33.2628,24.2665,25.9685,41.04
Cnp,0.1,9.64076,2.22086,3.44167,0.931872,3.41325,0.1,0.1,0.1,4.31898,0.1,2.04172,0.1,2.25745,0.1,0.1,1.1051,0.1,0.1,0.545547,0.1,0.1,1.06453,0.1,0.1,2.4574,1.76712,0.1,1.82656,0.1,0.1,0.1,1.56126,0.1,0.619502,1.68976,1.83993,0.1,0.1,0.1,1.26071,0.518582,0.1,0.896754,0.1,2.07676,0.523204,0.1,0.1,0.1,0.577836,0.1,1.41172,0.424517,0.1,0.1,0.49343,0.1,1.30386,0.1,0.1,0.1,1.0627,0.1,1.27384,0.1,0.1,0.1,0.1,0.1,0.930117,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.63191,1.12973,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.40568,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.989152,0.1,0.1,0.1,0.937007,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.890479,0.1,0.1,0.1,0.1,0.1,0.1,1.17761,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,36.5165,39.3806,45.5456,38.9645,42.4249,36.8003,47.7076,29.4561,29.365,32.0135,42.1558,33.4023,38.8191,41.5719,27.7262,32.6479,35.6827,35.5566,27.7704,35.4442,32.5179,41.7054,17.7573,42.7965,50.8181,33.3962,33.9009,33.8219,30.6316,33.2079,43.4511,35.2518,23.4319,30.7537,36.3735,30.3801,35.3049,34.4578,52.97,42.3018,30.9821,41.7272,18.9001,38.0122,25.8517,39.7992,28.507,29.577,42.3322,22.9395,31.6689,46.25,27.5147,47.9932,33.0731,31.6994,41.8279,28.8761,28.1339,43.1885,46.797,23.6451,36.1459,37.0598,48.632,49.6946,31.536,29.9273,34.4864,42.6262,37.1401,38.9,29.345,38.336,42.9807
Cntn1,12.6823,9.64076,14.1926,7.69415,12.9335,17.2141,12.67,10.3006,12.0253,14.0619,16.0596,0.1,1.97909,1.17661,1.24506,2.34628,1.1051,0.1,0.1,0.545547,0.1,1.6172,0.1,0.1,0.1,1.27639,1.76712,1.30112,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.595739,0.1,0.424517,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.02533,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.14463,0.1,0.1,0.1,2.64348,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.80558,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.24296,0.1,0.1,0.1,0.1,0.1,0.709742,1.10575,0.1,1.24743,0.791008,0.1,1.1589,0.1,1.36101,0.1,0.1,0.1,0.1,0.1,0.600246,0.1,0.1,0.1,1.37965,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.06676,1.20858,0.1,4.13122,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.19299,0.1,0.1,1.98895,0.1,0.1,0.1,0.1,0.1,0.1,3.60201,0.1,0.1
Cpe,5.11145,4.38484,10.8747,3.44167,2.60545,0.923434,3.37849,9.26201,0.1,5.38419,4.68124,6.96372,23.1496,12.181,27.6416,9.19279,13.4835,31.046,8.44531,12.7878,12.1487,18.7105,10.9233,23.4661,21.3837,18.2484,11.9092,14.8334,11.3952,26.1455,53.9298,61.8767,63.6633,9.32653,7.56485,41.215,3.59361,11.9905,17.4473,1.73533,4.77033,1.36069,4.99623,0.1,3.74066,17.9868,10.2791,3.2082,3.79612,2.43653,2.02267,4.12132,1.85241,2.06643,1.96101,0.8179,2.8869,4.01748,3.7258,0.1,3.89291,0.1,1.0627,8.31952,7.21293,3.99991,3.82324,1.74884,2.00586,1.74038,3.44014,9.34986,1.33475,5.06359,4.17457,1.35835,2.58877,1.49793,1.1152,0.1,4.38793,2.63805,1.46385,4.24224,3.61924,0.1,1.60776,3.39422,3.16984,2.16351,3.89553,3.67851,3.58933,5.09977,7.71817,5.42212,2.53002,2.71649,3.90716,3.32214,4.5358,0.1,6.01169,2.2784,0.1,0.1,1.92567,0.1,1.41992,3.26436,1.46621,3.809,1.65471,0.1,7.43072,3.15022,2.85092,4.79864,1.12031,2.77797,1.22298,3.56432,7.79109,2.62092,1.7459,1.42688,1.76815,7.65212,2.89986,1.09692,5.66932,3.28065,1.07153,1.29738,5.82866,4.15277,3.64528,2.79867,2.25945,3.15947,1.55386,3.56896,1.495,7.26319,2.00027,0.953783,5.60408,0.693492,2.28364,1.67303,10.4985,5.50001,2.70783,0.1,1.69009,3.63743,0.1,1.53169,3.10285,0.1,0.1,2.76932,0.1,2.05388,1.14084,0.1,0.881533,2.68347,0.1,2.12631,0.1,0.1,0.1,1.1096,2.39041,0.1,0.1,0.1,0.1,1.24445,0.709742,0.1,0.1,0.672589,0.1,0.801482,0.1,0.1,1.36101,0.1,0.1,1.95896,0.1,0.1,0.1,1.98993,1.40861,3.00996,1.37965,0.1,2.46577,0.1,0.849151,0.1,1.75661,3.5871,0.1,0.1,9.07101,0.1,0.1,3.11745,0.707151,0.1,0.1,1.17766,0.1,0.1,0.1,0.1,0.1,1.19299,1.26057,0.1,0.1,2.15077,0.1,0.1,3.64306,1.60276,0.1,1.26276,2.17419,2.47917
Cspg4,17.5533,2.66075,9.77767,6.83681,4.29231,9.34004,13.5356,12.3904,12.0253,5.38419,10.3007,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.22527,0.1,0.1,0.1,1.24296,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.58047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dcx,0.1,1.80381,2.22086,0.1,0.1,0.923434,0.1,1.10196,0.1,0.1,1.92167,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.872473,1.32233,1.84894,0.1,1.59308,0.972757,0.424517,1.96101,4.45016,0.1,9.00271,4.94395,1.85094,5.80058,4.86555,3.9736,5.28867,10.8337,7.94633,3.82324,5.92842,7.81481,3.39373,4.28346,2.71675,0.1,5.06359,2.81104,3.88993,2.58877,5.72485,7.29125,8.79748,7.2749,3.91458,0.1,3.20055,7.18045,16.1808,3.12145,5.05107,6.26395,8.45297,7.72107,1.88574,3.58933,7.62949,12.8992,4.08371,3.75953,6.68012,5.822,8.20323,4.5358,2.94704,10.8265,14.575,4.66387,8.04015,11.1628,3.85395,10.8069,12.9091,6.98517,13.2108,1.65471,1.98242,5.95297,10.4104,4.70304,5.98495,5.24197,4.58098,5.75935,3.56432,3.92274,5.1719,6.72261,5.43897,5.12415,11.4733,2.89986,3.10255,9.41901,1.68406,4.99615,4.91791,7.75331,4.15277,7.23285,4.15599,7.73336,0.1,8.90975,6.20702,9.98165,1.52138,3.908,9.6806,6.99375,1.88749,3.75384,1.67303,11.4669,4.41145,4.01946,5.39519,6.5366,4.82589,3.84356,3.70049,9.25424,0.1,0.1,0.1,1.41321,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dio2,1.75064,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.6609,3.34256,1.24506,5.74908,0.1,1.9767,3.25848,0.545547,3.07651,3.14036,9.9195,0.1,1.07325,1.27639,8.50162,3.71757,2.98901,0.1,0.1,0.1,0.1,0.1,0.1,0.893321,0.1,1.64452,0.1,0.1,0.1,0.518582,0.1,0.896754,0.1,0.591279,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.424517,0.1,0.1,0.49343,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.953783,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.24296,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.791008,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dlx6os1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.43653,0.1,0.1,1.41172,0.1,1.96101,5.18533,0.1,5.9996,4.94395,5.37353,7.71581,4.86555,10.9028,5.28867,7.21293,11.9404,7.60605,5.92842,3.92679,3.39373,4.28346,4.03287,6.32267,5.06359,1.45286,7.72508,3.84051,12.8828,11.4919,16.6411,20.5575,5.19616,1.46385,3.20055,5.98865,21.6716,6.16679,5.05107,4.71384,10.5833,5.80452,1.88574,7.10624,8.90195,18.1652,4.08371,2.53002,9.34894,11.6123,6.56975,5.65576,5.82804,9.6155,8.91804,15.5269,4.84527,11.1628,2.59771,6.75187,3.26436,4.21478,0.1,3.21553,9.58664,1.55462,2.12948,4.70304,9.57246,9.42985,1.8818,3.4822,12.3459,1.36925,5.1719,1.7459,10.8634,5.12415,3.86119,7.14125,1.09692,18.9255,1.68406,3.02608,0.1,3.91159,2.79653,4.83639,1.44669,9.95377,4.18736,1.55386,12.4882,8.5531,7.26319,13.5608,12.3682,15.4498,12.435,5.2358,6.46753,19.3597,6.59291,4.01946,4.32777,5.72076,15.7394,5.72642,5.89538,13.2021,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1096,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dnajb1,0.648053,0.1,0.1,0.930496,0.931872,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.25745,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.6172,0.1,1.6146,0.1,0.1,0.1,0.1,0.1,2.74894,0.1,0.1,0.1,0.1,4.85038,0.1,8.93939,0.1,2.42744,0.1,1.26071,0.518582,0.440744,20.1395,2.27577,0.1,0.523204,0.872473,1.32233,0.680691,0.577836,1.09343,1.85241,0.1,1.96101,2.98862,2.08273,0.1,0.1,0.1,1.99274,0.1,0.1,0.1,0.1,1.39487,0.1,1.74884,0.1,0.1,0.930117,0.1,1.33475,0.1,0.1,0.1,1.34194,0.1,0.1,0.1,0.1,0.1,0.1,2.16297,0.1,0.1,1.60776,0.1,1.63191,1.12973,0.1,0.1,0.1,0.1,0.1,0.1,0.703926,1.40568,0.1,0.1,0.1,0.1,1.27305,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.46621,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.7773,1.7459,0.1,0.1,0.1,0.1,0.1,0.1,1.68406,1.07153,1.29738,0.1,0.1,1.27712,0.1,0.1,3.15947,0.1,0.962133,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.17151,1.40136,0.1,1.69009,0.1,0.1,0.1,0.84629,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.957776,0.1,0.1,0.1,0.1,1.23907,1.1096,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.10575,0.737887,0.1,0.1,0.1,0.1,0.1,0.1,1.32945,1.06548,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.28057,1.63266,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.20858,0.1,1.10187,0.1,0.1,0.1,0.1,1.56046,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.788683,0.889946
Dpysl3,3.98219,5.25204,4.35848,1.76426,0.1,1.7501,5.0373,2.10785,0.1,0.1,2.83789,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.673261,0.1,0.1,1.38207,0.1,0.1,2.19032,1.68976,2.71503,0.1,0.56183,0.91606,3.59584,1.36069,1.81721,0.1,3.00676,2.57585,5.29117,8.76819,6.94462,3.61873,12.6456,17.5799,5.89926,14.187,13.788,13.4728,8.27696,5.9996,3.7258,19.748,15.4535,3.27078,20.1085,4.53857,2.45228,11.9404,10.4834,4.2466,11.766,11.8624,6.83373,5.35419,2.57436,5.06359,1.45286,11.6065,14.0363,14.3318,11.4919,14.3771,11.6488,3.91458,8.36434,9.5135,7.18045,5.39659,6.16679,15.1318,4.71384,6.33974,3.89553,9.09945,14.2246,11.4623,12.8992,14.9424,18.6514,14.7515,11.6123,14.8029,6.78018,3.90356,2.4507,8.91804,4.66387,11.2606,9.30067,10.2106,9.4498,12.9091,4.21478,9.42762,12.7115,7.67429,8.91438,6.23682,2.85092,4.79864,2.14463,12.8764,15.0531,1.82876,6.49651,12.1272,6.72261,2.75897,8.50679,3.86119,8.56633,6.14091,5.66932,3.28065,7.98087,2.49947,5.82866,12.4045,6.03223,12.4143,15.5844,11.4989,11.8934,4.44481,8.5531,4.38094,13.5608,9.6806,12.6084,8.00271,7.4812,10.5524,15.3804,9.89804,7.98568,11.8904,15.7344,9.62741,5.72642,7.37344,12.406,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.881533,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Egfr,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.01832,1.97909,1.17661,1.24506,2.34628,0.1,0.1,2.62178,2.34538,0.1,0.1,2.03285,0.1,1.07325,0.1,0.1,0.1,1.24878,0.1,0.1,0.1,0.1,8.65,7.0175,4.90718,10.7503,10.363,6.24955,3.38358,7.13337,6.1147,7.92288,2.49968,7.45458,3.07694,5.29117,0.872473,0.1,0.1,2.99548,3.61162,0.972757,1.73544,3.37626,0.1,8.27696,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.02533,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.81104,0.1,2.58877,0.1,0.1,0.1,0.1,1.36654,0.1,0.1,0.1,0.1,0.1,1.74388,0.1,0.1,0.1,0.1,0.1,0.1,1.35721,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.27305,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.95086,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.17151,0.1,0.1,0.893488,1.27451,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Egr1,9.13715,0.1,2.22086,0.1,1.76701,0.1,0.914795,0.1,8.58422,6.45365,1.00905,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.726731,0.1,0.1,1.6172,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.33594,14.8938,0.1,24.8252,0.1,2.89849,0.91606,2.42597,4.36142,6.44726,20.1395,1.54766,0.1,0.1,15.3204,1.32233,2.43653,16.4024,6.70107,12.9893,0.424517,16.9395,0.1,8.27696,4.01748,9.86541,0.1,3.89291,1.68228,0.1,4.53857,0.1,6.62562,2.88692,0.922803,4.89298,0.918582,0.1,0.1,0.1,1.74804,0.1,0.1,0.1,0.1,0.1,4.41422,0.1,1.36654,2.83306,1.12946,0.1,0.1,0.1,0.1,0.1,0.1,3.89553,0.1,0.1,2.59004,5.15865,0.1,0.1,0.1,3.90716,0.1,3.42029,2.94704,1.27305,1.18707,0.1,4.84527,3.75852,0.1,0.1,0.1,0.1,0.1,0.1,1.98242,4.48106,0.1,8.45198,3.61702,0.1,0.989152,0.1,0.1,1.36925,2.62092,1.7459,5.43897,1.76815,0.1,1.49718,0.1,0.1,0.890479,2.04688,0.1,0.1,0.1,7.23285,0.1,0.1,0.1,1.55386,0.962133,0.1,0.1,5.82326,3.53537,0.1,0.1,0.825025,0.884973,6.66418,1.17151,0.1,0.1,2.48984,0.1,1.96811,0.1,3.10285,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.81892,1.10212,0.1,0.1,1.31582,0.1,2.12316,2.39041,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.737887,0.1,0.1,1.50572,0.1,0.1,0.1,0.1,3.98479,0.1,0.1,1.00945,0.600246,1.98993,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.58047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.56046,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.70059,0.1,0.1,1.07521,0.1,0.1,0.1,0.1,0.1,0.1
